participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.trader_uuid,player.current_cash,player.num_shares,player.dividend_per_share,player.dividend_cash,player.cash_after_dividend,player.daybreak_snapshot_error,player.assigned_initial_cash,player.assigned_initial_shares,player.forecast_price_next_day,player.forecast_confidence_next_day,player.forecast_survey_json,player.realized_next_day_closing_price,player.forecast_bonus_earned,player.forecast_bonus_scored,group.id_in_subsession,group.trading_session_uuid,group.trading_api_base,group.trading_ws_base,group.trading_init_error,group.trading_day_duration_minutes,group.treatment,group.market_design,group.group_composition,group.noise_trader_draw,group.noise_trader_present,group.num_days,group.dividends_csv,group.observed_last_transaction_price,group.closing_price,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,zl9j31p5,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,1,0o20vskc,,,,,1
12,7ypvevht,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,1,0o20vskc,,,,,1
1,hquseb9c,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,2,0o20vskc,,,,,1
2,s9g6a967,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,2,0o20vskc,,,,,1
3,j6e2cd9j,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,2,0o20vskc,,,,,1
4,c60p0ryg,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,2,0o20vskc,,,,,1
5,xgiixcrd,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,2,0o20vskc,,,,,1
6,8tqsr6ta,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,2,0o20vskc,,,,,1
7,ywz75sgf,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,2,0o20vskc,,,,,1
8,gnftim38,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,2,0o20vskc,,,,,1
9,2zgdmcjd,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,2,0o20vskc,,,,,1
10,tngrtfod,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,2,0o20vskc,,,,,1
11,zl9j31p5,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,2,0o20vskc,,,,,1
12,7ypvevht,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,2,0o20vskc,,,,,1
1,hquseb9c,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,3,0o20vskc,,,,,1
2,s9g6a967,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,3,0o20vskc,,,,,1
3,j6e2cd9j,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,3,0o20vskc,,,,,1
4,c60p0ryg,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,3,0o20vskc,,,,,1
5,xgiixcrd,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,3,0o20vskc,,,,,1
6,8tqsr6ta,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,3,0o20vskc,,,,,1
7,ywz75sgf,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,3,0o20vskc,,,,,1
8,gnftim38,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,3,0o20vskc,,,,,1
9,2zgdmcjd,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,3,0o20vskc,,,,,1
10,tngrtfod,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,3,0o20vskc,,,,,1
11,zl9j31p5,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,3,0o20vskc,,,,,1
12,7ypvevht,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,3,0o20vskc,,,,,1
1,hquseb9c,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,4,0o20vskc,,,,,1
2,s9g6a967,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,4,0o20vskc,,,,,1
3,j6e2cd9j,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,4,0o20vskc,,,,,1
4,c60p0ryg,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,4,0o20vskc,,,,,1
5,xgiixcrd,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,4,0o20vskc,,,,,1
6,8tqsr6ta,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,4,0o20vskc,,,,,1
7,ywz75sgf,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,4,0o20vskc,,,,,1
8,gnftim38,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,4,0o20vskc,,,,,1
9,2zgdmcjd,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,4,0o20vskc,,,,,1
10,tngrtfod,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,4,0o20vskc,,,,,1
11,zl9j31p5,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,4,0o20vskc,,,,,1
12,7ypvevht,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,4,0o20vskc,,,,,1
1,k5aob072,,0,6,28,trader_bridge_app,DayBreak,2026-03-10 09:10:12.861257,1,,,0.0,1,,0.0,df17fe89-668d-421d-b9cc-8778bd75f558,2285.0,23.0,0.0,0.0,2285.0,,2600.0,20.0,,,,,,,1,40b7e781-febd-41e8-a473-a8f0e52813cf,http://localhost:8001,ws://localhost:8001,,1,gh,gamified,human_only,,,2,"[0.0, 8.0, 16.0, 24.0]",,,1,0j0j9xun,,,,,1
2,leam8k2u,,0,6,28,trader_bridge_app,DayBreak,2026-03-10 09:10:13.322715,1,,,0.0,2,,0.0,1d0e75e9-6d5e-4582-86e7-59c1e743a43c,3800.0,10.0,0.0,0.0,3800.0,,3800.0,10.0,,,,,,,1,40b7e781-febd-41e8-a473-a8f0e52813cf,http://localhost:8001,ws://localhost:8001,,1,gh,gamified,human_only,,,2,"[0.0, 8.0, 16.0, 24.0]",,,1,0j0j9xun,,,,,1
3,a4rl9qkx,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,1,0j0j9xun,,,,,1
4,x2a0ejml,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,1,0j0j9xun,,,,,1
5,vwcjw062,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,1,0j0j9xun,,,,,1
6,k6l1f0bn,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,1,0j0j9xun,,,,,1
7,v9jz3lj9,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,1,0j0j9xun,,,,,1
8,5ff2by1o,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,1,0j0j9xun,,,,,1
9,qw6p73ug,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,1,0j0j9xun,,,,,1
10,f0nwnn15,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,1,0j0j9xun,,,,,1
11,l4amf5nj,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,1,0j0j9xun,,,,,1
12,v9930ou4,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,1,0j0j9xun,,,,,1
1,k5aob072,,0,6,28,trader_bridge_app,DayBreak,2026-03-10 09:10:12.861257,1,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,2,0j0j9xun,,,,,1
2,leam8k2u,,0,6,28,trader_bridge_app,DayBreak,2026-03-10 09:10:13.322715,1,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,2,0j0j9xun,,,,,1
3,a4rl9qkx,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,2,0j0j9xun,,,,,1
4,x2a0ejml,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,2,0j0j9xun,,,,,1
5,vwcjw062,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,2,0j0j9xun,,,,,1
6,k6l1f0bn,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,2,0j0j9xun,,,,,1
7,v9jz3lj9,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,2,0j0j9xun,,,,,1
8,5ff2by1o,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,2,0j0j9xun,,,,,1
9,qw6p73ug,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,2,0j0j9xun,,,,,1
10,f0nwnn15,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,2,0j0j9xun,,,,,1
11,l4amf5nj,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,2,0j0j9xun,,,,,1
12,v9930ou4,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,2,0j0j9xun,,,,,1
1,k5aob072,,0,6,28,trader_bridge_app,DayBreak,2026-03-10 09:10:12.861257,1,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,3,0j0j9xun,,,,,1
2,leam8k2u,,0,6,28,trader_bridge_app,DayBreak,2026-03-10 09:10:13.322715,1,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,3,0j0j9xun,,,,,1
3,a4rl9qkx,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,3,0j0j9xun,,,,,1
4,x2a0ejml,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,3,0j0j9xun,,,,,1
5,vwcjw062,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,3,0j0j9xun,,,,,1
6,k6l1f0bn,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,3,0j0j9xun,,,,,1
7,v9jz3lj9,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,3,0j0j9xun,,,,,1
8,5ff2by1o,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,3,0j0j9xun,,,,,1
9,qw6p73ug,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,3,0j0j9xun,,,,,1
10,f0nwnn15,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,3,0j0j9xun,,,,,1
11,l4amf5nj,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,3,0j0j9xun,,,,,1
12,v9930ou4,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,3,0j0j9xun,,,,,1
1,k5aob072,,0,6,28,trader_bridge_app,DayBreak,2026-03-10 09:10:12.861257,1,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,4,0j0j9xun,,,,,1
2,leam8k2u,,0,6,28,trader_bridge_app,DayBreak,2026-03-10 09:10:13.322715,1,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,1,,,,,2,gh,gamified,human_only,,,2,,,,4,0j0j9xun,,,,,1
3,a4rl9qkx,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,4,0j0j9xun,,,,,1
4,x2a0ejml,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,2,,,,,2,gh,gamified,human_only,,,2,,,,4,0j0j9xun,,,,,1
5,vwcjw062,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,4,0j0j9xun,,,,,1
6,k6l1f0bn,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,3,,,,,2,nh,non_gamified,human_only,,,2,,,,4,0j0j9xun,,,,,1
7,v9jz3lj9,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,4,0j0j9xun,,,,,1
8,5ff2by1o,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,4,,,,,2,nh,non_gamified,human_only,,,2,,,,4,0j0j9xun,,,,,1
9,qw6p73ug,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,4,0j0j9xun,,,,,1
10,f0nwnn15,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,5,,,,,2,gm,gamified,hybrid,,,2,,,,4,0j0j9xun,,,,,1
11,l4amf5nj,,0,0,28,,,,0,,,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,2600.0,20.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,4,0j0j9xun,,,,,1
12,v9930ou4,,0,0,28,,,,0,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,,3800.0,10.0,,,,,,,6,,,,,2,nm,non_gamified,hybrid,,,2,,,,4,0j0j9xun,,,,,1
1,wd5u0c9h,,1,29,28,trader_bridge_app,MarketTransition,2026-03-12 15:31:05.470639,1,,,0.0,1,,0.0,01617174-5219-4c0d-baf3-5ab0b6aa1de7,2480.0,21.0,8.0,168.0,2648.0,,2600.0,20.0,101.0,3,"{""forecast_price_next_day"": 101, ""forecast_confidence_next_day"": 3}",120.0,0.0,1,1,6f95b874-b43e-42bf-8d92-bfbf3fa41827,http://localhost:8001,ws://localhost:8001,,1,gh,gamified,human_only,0.0,0,2,"[8.0, 8.0, 20.0, 20.0]",120.0,120.0,1,7ewngjbf,,,,,0
2,sxl165nd,,1,29,28,trader_bridge_app,MarketTransition,2026-03-12 15:31:05.492410,1,,,0.0,2,,0.0,0e00fcdd-1683-4f76-8f0c-a1cb4f7da45d,3920.0,10.0,8.0,80.0,4000.0,,3800.0,10.0,101.0,3,"{""forecast_price_next_day"": 101, ""forecast_confidence_next_day"": 3}",120.0,0.0,1,1,6f95b874-b43e-42bf-8d92-bfbf3fa41827,http://localhost:8001,ws://localhost:8001,,1,gh,gamified,human_only,0.0,0,2,"[8.0, 8.0, 20.0, 20.0]",120.0,120.0,1,7ewngjbf,,,,,0
1,wd5u0c9h,,1,29,28,trader_bridge_app,MarketTransition,2026-03-12 15:31:05.470639,1,,,0.0,1,,0.0,01617174-5219-4c0d-baf3-5ab0b6aa1de7,2480.0,21.0,8.0,168.0,2648.0,,2600.0,20.0,,,,,0.0,0,1,6f95b874-b43e-42bf-8d92-bfbf3fa41827,http://localhost:8001,ws://localhost:8001,,1,gh,gamified,human_only,0.0,0,2,"[8.0, 8.0, 20.0, 20.0]",120.0,120.0,2,7ewngjbf,,,,,0
2,sxl165nd,,1,29,28,trader_bridge_app,MarketTransition,2026-03-12 15:31:05.492410,1,,,0.0,2,,0.0,0e00fcdd-1683-4f76-8f0c-a1cb4f7da45d,3920.0,10.0,8.0,80.0,4000.0,,3800.0,10.0,,,,,0.0,0,1,6f95b874-b43e-42bf-8d92-bfbf3fa41827,http://localhost:8001,ws://localhost:8001,,1,gh,gamified,human_only,0.0,0,2,"[8.0, 8.0, 20.0, 20.0]",120.0,120.0,2,7ewngjbf,,,,,0
1,wd5u0c9h,,1,29,28,trader_bridge_app,MarketTransition,2026-03-12 15:31:05.470639,1,,,0.0,1,,0.0,512ef31e-04fc-45aa-a72e-8e2a9fa5c3a5,2480.0,21.0,20.0,420.0,2900.0,,2600.0,20.0,103.0,3,"{""forecast_price_next_day"": 103, ""forecast_confidence_next_day"": 3}",120.0,0.0,1,1,3e00a361-97f1-44d0-8ef7-82e1df0a9f01,http://localhost:8001,ws://localhost:8001,,1,gh,gamified,human_only,0.0,0,2,"[8.0, 8.0, 20.0, 20.0]",120.0,120.0,3,7ewngjbf,,,,,0
